"Opcode","Format type","Format Value","Other field, if any","Value","Operation","Sparc V8 Manual main description page","Sparc V8 Manual main description Chapter reference","Insn Category","Insn Category Index","Format Index","Processing Status","Privilege
(0 – no, 1 – yes, 2 – if ref’d ASR is privileged)","Notes","ASM Rator Syntax","ASM Arguments list"
"BVS","op2",0111,"a",0000,"Branch on Overflow Set",119,"B21","Control Transfer",3,"op21","raw",0,,"bvs","label"
"FBA","op2",1000,"a",0000,"FCC Branch Always",121,"B22","Control Transfer",3,"op21","raw",0,,"fba","label"
"FBN","op2",0000,"a",0000,"FCC Branch Never",121,"B22","Control Transfer",3,"op21","raw",0,,"fbn","label"
"FBU","op2",0111,"a",0000,"FCC Branch on Unordered",121,"B22","Control Transfer",3,"op21","raw",0,,"fbu","label"
"FBG","op2",0110,"a",0000,"FCC Branch on Greater",121,"B22","Control Transfer",3,"op21","raw",0,,"fbg","label"
"FBUG","op2",0101,"a",0000,"FCC Branch on Unordered or Greater",121,"B22","Control Transfer",3,"op21","raw",0,,"fbug","label"
"FBL","op2",0100,"a",0000,"FCC Branch on Less",121,"B22","Control Transfer",3,"op21","raw",0,,"fbl","label"
"FBUL","op2",0011,"a",0000,"FCC Branch on Unordered or Less",121,"B22","Control Transfer",3,"op21","raw",0,,"fbul","label"
"FBLG","op2",0010,"a",0000,"FCC Branch on Less or Greater",121,"B22","Control Transfer",3,"op21","raw",0,,"fblg","label"
"FBNE","op2",0001,"a",0000,"FCC Branch on Not Equal",121,"B22","Control Transfer",3,"op21","raw",0,,"fbne","label"
"FBE","op2",1001,"a",0000,"FCC Branch on Equal",121,"B22","Control Transfer",3,"op21","raw",0,,"fbe","label"
"FBUE","op2",1010,"a",0000,"FCC Branch on Unordered or Equal",121,"B22","Control Transfer",3,"op21","raw",0,,"fbue","label"
"FBGE","op2",1011,"a",0000,"FCC Branch on Greater or Equal",121,"B22","Control Transfer",3,"op21","raw",0,,"fbge","label"
"FBUGE","op2",1100,"a",0000,"FCC Branch on Unordered or Greater or Equal",121,"B22","Control Transfer",3,"op21","raw",0,,"fbuge","label"
"FBLE","op2",1101,"a",0000,"FCC Branch on Less or Equal",121,"B22","Control Transfer",3,"op21","raw",0,,"fble","label"
"FBULE","op2",1110,"a",0000,"FCC Branch on Unordered or Less or Equal",121,"B22","Control Transfer",3,"op21","raw",0,,"fbule","label"
"FBO","op2",1111,"a",0000,"FCC Branch on Ordered",121,"B22","Control Transfer",3,"op21","raw",0,,"fbo","label"
"CBA","op2",1000,"a",0000,"CCC Branch Always",123,"B23","Control Transfer",3,"op21","raw",0,,"cba","label"
"CBN","op2",0000,"a",0000,"CCC Branch Never",123,"B23","Control Transfer",3,"op21","raw",0,,"cbn","label"
"CB3","op2",0111,"a",0000,"CCC Branch on Unordered",123,"B23","Control Transfer",3,"op21","raw",0,,"cb3","label"
"CB2","op2",0110,"a",0000,"CCC Branch on Greater",123,"B23","Control Transfer",3,"op21","raw",0,,"cb2","label"
"CB23","op2",0101,"a",0000,"CCC Branch on Unordered or Greater",123,"B23","Control Transfer",3,"op21","raw",0,,"cb23","label"
"CB1","op2",0100,"a",0000,"CCC Branch on Less",123,"B23","Control Transfer",3,"op21","raw",0,,"cb1","label"
"CB13","op2",0011,"a",0000,"CCC Branch on Unordered or Less",123,"B23","Control Transfer",3,"op21","raw",0,,"cb13","label"
"CB12","op2",0010,"a",0000,"CCC Branch on Less or Greater",123,"B23","Control Transfer",3,"op21","raw",0,,"cb12","label"
"CB123","op2",0001,"a",0000,"CCC Branch on Not Equal",123,"B23","Control Transfer",3,"op21","raw",0,,"cb123","label"
"CB0","op2",1001,"a",0000,"CCC Branch on Equal",123,"B23","Control Transfer",3,"op21","raw",0,,"cb0","label"
"CB03","op2",1010,"a",0000,"CCC Branch on Unordered or Equal",123,"B23","Control Transfer",3,"op21","raw",0,,"cb03","label"
"CB02","op2",1011,"a",0000,"CCC Branch on Greater or Equal",123,"B23","Control Transfer",3,"op21","raw",0,,"cb02","label"
"CB023","op2",1100,"a",0000,"CCC Branch on Unordered or Greater or Equal",123,"B23","Control Transfer",3,"op21","raw",0,,"cb023","label"
"CB01","op2",1101,"a",0000,"CCC Branch on Less or Equal",123,"B23","Control Transfer",3,"op21","raw",0,,"cb01","label"
"CB013","op2",1110,"a",0000,"CCC Branch on Unordered or Less or Equal",123,"B23","Control Transfer",3,"op21","raw",0,,"cb013","label"
"CB012","op2",1111,"a",0000,"CCC Branch on Ordered",123,"B23","Control Transfer",3,"op21","raw",0,,"cb012","label"
"CALL","op",01,,,"Call and Link",125,"B24","Control Transfer",3,"op1","raw",0,,"call","label"
"JMPL","op3",111000,"i",000000,"Jump and Link",126,"B25","Control Transfer",3,"op40","raw",0,,"jmpl","rs1","rs2","rd"
"RETT","op3",111001,"i",000000,"Return from Trap",127,"B26","Control Transfer",3,"op43","raw",0,,"rett","rs1","rs2"
"TA","op3",111010,"i",000000,"Trap Always",129,"B27","Control Transfer",3,"op37","raw",0,,"ta","rs1","rs2","#software-trap"
"TN","op3",111010,"i",000000,"Trap Never",129,"B27","Control Transfer",3,"op37","raw",1,,"tn","rs1","rs2","#software-trap"
"TNE","op3",111010,"i",000000,"Trap on Not Equal",129,"B27","Control Transfer",3,"op37","raw",0,,"tne","rs1","rs2","#software-trap"
"TE","op3",111010,"i",000000,"Trap on Equal",129,"B27","Control Transfer",3,"op37","raw",0,,"te","rs1","rs2","#software-trap"
"TG","op3",111010,"i",000000,"Trap on Greater",129,"B27","Control Transfer",3,"op37","raw",0,,"tg","rs1","rs2","#software-trap"
"TLE","op3",111010,"i",000000,"Trap on Less or Equal",129,"B27","Control Transfer",3,"op37","raw",0,,"tle","rs1","rs2","#software-trap"
"TGE","op3",111010,"i",000000,"Trap on Greater or Equal",129,"B27","Control Transfer",3,"op37","raw",0,,"tge","rs1","rs2","#software-trap"
"TL","op3",111010,"i",000000,"Trap on Less",129,"B27","Control Transfer",3,"op37","raw",0,,"tl","rs1","rs2","#software-trap"
"TGU","op3",111010,"i",000000,"Trap on Greater Unsigned",129,"B27","Control Transfer",3,"op37","raw",0,,"tgu","rs1","rs2","#software-trap"
"TLEU","op3",111010,"i",000000,"Trap on Less or Equal Unsigned",129,"B27","Control Transfer",3,"op37","raw",0,,"tleu","rs1","rs2","#software-trap"
"TCC","op3",111010,"i",000000,"Trap on Carry Clear (Greater than or Equal, Unsigned)",129,"B27","Control Transfer",3,"op37","raw",0,,"tcc","rs1","rs2","#software-trap"
"TCS","op3",111010,"i",000000,"Trap on Carry Set (Less Than, Unsigned)",129,"B27","Control Transfer",3,"op37","raw",0,,"tcs","rs1","rs2","#software-trap"
"TPOS","op3",111010,"i",000000,"Trap on Positive",129,"B27","Control Transfer",3,"op37","raw",0,,"tpos","rs1","rs2","#software-trap"
"TNEG","op3",111010,"i",000000,"Trap on Negative",129,"B27","Control Transfer",3,"op37","raw",0,,"tneg","rs1","rs2","#software-trap"
"TVC","op3",111010,"i",000000,"Trap on Overflow Clear",129,"B27","Control Transfer",3,"op37","raw",0,,"tvc","rs1","rs2","#software-trap"
"TVS","op3",111010,"i",000000,"Trap on Overflow Set",129,"B27","Control Transfer",3,"op37","raw",0,,"tvs","rs1","rs2","#software-trap"
"RDY","op3",101000,,,"Read Y Register",131,"B28","State Register",4,"op41","raw",0,"rs1=0","rd","%y","rd"
"RDASR‡","op3",101000,,,"Read Ancillary State Register (reserved)",131,"B28","State Register",4,"op41","raw",0,"Rs = 1 … 15, causes undefined results","rd","rs1","rd"
"RDASR‡","op3",101000,,,"(implementation-dependent)",131,"B28","State Register",4,"op41","raw",0,"Stbar = rdasr with rd=0 and rs1=15","rd","rs1","rd"
"RDPSR","op3",101001,,,"Read Processor State Register",131,"B28","State Register",4,"op41","raw",2,,"rd","%psr","rd"
"RDWIM","op3",101010,,,"Read Window Invalid Mask Register",131,"B28","State Register",4,"op41","raw",2,,"rd","%wim","rd"
"RDTBR","op3",101011,,,"Read Trap Base Register",131,"B28","State Register",4,"op41","raw",1,,"rd","%tbr","rd"
"WRY","op3",110000,,,"Write Y Register",133,"B29","State Register",4,"op41","raw",1,"rd=0","wry","rs1","rs2","%y"
"WRASR‡","op3",110000,,,"Write Ancillary State Register (reserved)",133,"B29","State Register",4,"op41","raw",1,"Rs = 1 … 15, causes undefined results","wrasr‡","rs1","rs2","rd"
"WRASR‡","op3",110000,,,"(implementation-dependent)",133,"B29","State Register",4,"op41","raw",0,,"wrasr‡","rs1","rs2","rd"
"WRPSR","op3",110001,,,"Write Processor State Register",133,"B29","State Register",4,"op41","raw",2,,"wrpsr","rs1","rs2","%psr"
"WRWIM","op3",110010,,,"Write Window Invalid Mask Register",133,"B29","State Register",4,"op41","raw",2,,"wrwim","rs1","rs2","%wim"
"WRTBR","op3",110011,,,"Write Trap Base Register",133,"B29","State Register",4,"op41","raw",1,,"wrtbr","rs1","rs2","%tbr"
"STBAR","op3",101000,,,"Store Barrier",136,"B30","Load/Store",1,"op42","raw",1,,"stbar"
"UNIMP","op2",0,,,"Unimplemented",137,"B31",,,"op25","raw",1,,"unimp","const22"
"FLUSH","op3",111011,"i",000000,"Flush Instruction Memory",138,"B32","Load/Store",1,"op43","raw",0,,"flush","rs1","rs2"
"FiTOs","op3",110100,"opf",11000100,"Convert Integer to Single",140,"B33","Floating Point",5,"op33","raw",0,,"fitos","fprs2","fprd"
"FiTOd","op3",110100,"opf",11001000,"Convert Integer to Double",140,"B33","Floating Point",5,"op33","raw",0,,"fitod","fprs2","fprd"
"FiTOq","op3",110100,"opf",11001100,"Convert Integer to Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fitoq","fprs2","fprd"
"FsTOi","op3",110100,"opf",11010001,"Convert Single to Integer",140,"B33","Floating Point",5,"op33","raw",0,,"fstoi","fprs2","fprd"
"FdTOi","op3",110100,"opf",11010010,"Convert Double to Integer",140,"B33","Floating Point",5,"op33","raw",0,,"fdtoi","fprs2","fprd"
"FqTOi","op3",110100,"opf",11010011,"Convert Quad to Integer",140,"B33","Floating Point",5,"op33","raw",0,,"fqtoi","fprs2","fprd"
"FsTOd","op3",110100,"opf",11001001,"Convert Single to Double",140,"B33","Floating Point",5,"op33","raw",0,,"fstod","fprs2","fprd"
"FsTOq","op3",110100,"opf",11001101,"Convert Single to Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fstoq","fprs2","fprd"
"FdTOs","op3",110100,"opf",11000110,"Convert Double to Single",140,"B33","Floating Point",5,"op33","raw",0,,"fdtos","fprs2","fprd"
"FdTOq","op3",110100,"opf",11001110,"Convert Double to Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fdtoq","fprs2","fprd"
"FqTOs","op3",110100,"opf",11000111,"Convert Quad to Single",140,"B33","Floating Point",5,"op33","raw",0,,"fqtos","fprs2","fprd"
"FqTOd","op3",110100,"opf",11001011,"Convert Quad to Double",140,"B33","Floating Point",5,"op33","raw",0,,"fqtod","fprs2","fprd"
"FMOVs","op3",110100,"opf",1,"Move",140,"B33","Floating Point",5,"op33","raw",0,,"fmovs","fprs2","fprd"
"FNEGs","op3",110100,"opf",101,"Negate",140,"B33","Floating Point",5,"op33","raw",0,,"fnegs","fprs2","fprd"
"FABSs","op3",110100,"opf",1001,"Absolute Value",140,"B33","Floating Point",5,"op33","raw",0,,"fabss","fprs2","fprd"
"FSQRTs","op3",110100,"opf",101001,"Square Root Single",140,"B33","Floating Point",5,"op33","raw",0,,"fsqrts","fprs2","fprd"
"FSQRTd","op3",110100,"opf",101010,"Square Root Double",140,"B33","Floating Point",5,"op33","raw",0,,"fsqrtd","fprs2","fprd"
"FSQRTq","op3",110100,"opf",101011,"Square Root Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fsqrtq","fprs2","fprd"
"FADDs","op3",110100,"opf",1000001,"Add Single",140,"B33","Floating Point",5,"op33","raw",0,,"fadds","fprs1","fprs2","fprd"
"FADDd","op3",110100,"opf",1000010,"Add Double",140,"B33","Floating Point",5,"op33","raw",0,,"faddd","fprs1","fprs2","fprd"
"FADDq","op3",110100,"opf",1000011,"Add Quad",140,"B33","Floating Point",5,"op33","raw",0,,"faddq","fprs1","fprs2","fprd"
"FSUBs","op3",110100,"opf",1000101,"Subtract Single",140,"B33","Floating Point",5,"op33","raw",0,,"fsubs","fprs1","fprs2","fprd"
"FSUBd","op3",110100,"opf",1000110,"Subtract Double",140,"B33","Floating Point",5,"op33","raw",0,,"fsubd","fprs1","fprs2","fprd"
"FSUBq","op3",110100,"opf",1000111,"Subtract Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fsubq","fprs1","fprs2","fprd"
"FMULs","op3",110100,"opf",1001001,"Multiply Single",140,"B33","Floating Point",5,"op33","raw",0,,"fmuls","fprs1","fprs2","fprd"
"FMULd","op3",110100,"opf",1001010,"Multiply Double",140,"B33","Floating Point",5,"op33","raw",0,,"fmuld","fprs1","fprs2","fprd"
"FMULq","op3",110100,"opf",1001011,"Multiply Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fmulq","fprs1","fprs2","fprd"
"FsMULd","op3",110100,"opf",1101001,"Multiply Single to Double",140,"B33","Floating Point",5,"op33","raw",0,,"fsmuld","fprs1","fprs2","fprd"
"FdMULq","op3",110100,"opf",1101110,"Multiply Double to Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fdmulq","fprs1","fprs2","fprd"
"FDIVs","op3",110100,"opf",1001101,"Divide Single",140,"B33","Floating Point",5,"op33","raw",0,,"fdivs","fprs1","fprs2","fprd"
"FDIVd","op3",110100,"opf",1001110,"Divide Double",140,"B33","Floating Point",5,"op33","raw",0,,"fdivd","fprs1","fprs2","fprd"
"FDIVq","op3",110100,"opf",1001111,"Divide Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fdivq","fprs1","fprs2","fprd"
"FCMPs","op3",110101,"opf",1010001,"Compare Single",140,"B33","Floating Point",5,"op33","raw",0,,"fcmps","fprs1","fprs2"
"FCMPd","op3",110101,"opf",1010010,"Compare Double",140,"B33","Floating Point",5,"op33","raw",0,,"fcmpd","fprs1","fprs2"
"FCMPq","op3",110101,"opf",1010011,"Compare Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fcmpq","fprs1","fprs2"
"FCMPEs","op3",110101,"opf",1010101,"Compare Single and Exception if Unordered",140,"B33","Floating Point",5,"op33","raw",0,,"fcmpes","fprs1","fprs2"
"FCMPEd","op3",110101,"opf",1010110,"Compare Double and Exception if Unordered",140,"B33","Floating Point",5,"op33","raw",0,,"fcmped","fprs1","fprs2"
