Opcode,Format type,Format Value,Other field,Value,Operation,Sparc V8 Manual main description page,Sparc V8 Manual main description Chapter reference,Insn Category,Insn Category Index,Format Index,Processing Status,Privilege,Notes,"Register Type, if any",ASM Rator Syntax,ASM Rand Syntax Notes,Num Args,ASM Arg 1,ASM Arg 2,ASM Arg 3,ASM Arg 4,END
LDDC,op3,110011,i,000000,Load Double Coprocessor Register,94,B3,Load,1,F01-1,raw,0,,rrc,ldd,[address],3,rs1,rs2,rd=cprd,,end
LDCSR,op3,110001,i,000000,Load Coprocessor State Register,94,B3,Load,1,F01-1,raw,0,,rrc,ld,[address],3,rs1,rs2,rd=%csr,,end
STB,op3,000101,i,000000,Store Byte,95,B4,Store,1,F01-1,raw,0,,rrr,stb,[address],3,rd,rs1,rs2,,end
STH,op3,000110,i,000000,Store Halfword,95,B4,Store,1,F01-1,raw,0,,rrr,sth,[address],3,rd,rs1,rs2,,end
ST,op3,000100,i,000000,Store Word,95,B4,Store,1,F01-1,raw,0,,rrr,st,[address],3,rd,rs1,rs2,,end
STD,op3,000111,i,000000,Store Doubleword,95,B4,Store,1,F01-1,raw,0,,rrr,std,[address],3,rd,rs1,rs2,,end
STBA,op3,010101,i,000000,Store Byte into Alternate space,95,B4,Store,1,F01-a,raw,1,asi,rrrn,stba,[regaddr] asi,4,rd,rs1,rs2,asi,end
STHA,op3,010110,i,000000,Store Halfword into Alternate space,95,B4,Store,1,F01-a,raw,1,asi,rrrn,stha,[regaddr] asi,4,rd,rs1,rs2,asi,end
STA,op3,010100,i,000000,Store Word into Alternate space,95,B4,Store,1,F01-a,raw,1,asi,rrrn,sta,[regaddr] asi,4,rd,rs1,rs2,asi,end
STDA,op3,010111,i,000000,Store Doubleword into Alternate space,95,B4,Store,1,F01-a,raw,1,asi,rrrn,stda,[regaddr] asi,4,rd,rs1,rs2,asi,end
STF,op3,100100,i,000000,Store Floating-point to memory,97,B5,Store,1,F01-1,raw,0,,frr,st,[address],3,rd=fprd,rs1,rs2,,end
STDF,op3,100111,i,000000,Store Double Floating-point to memory,97,B5,Store,1,F01-1,raw,0,,frr,std,[address],3,rd=fprd,rs1,rs2,,end
STFSR,op3,100101,i,000000,Store Floating-point State Register to memory,97,B5,Store,1,F01-1,raw,0,,frr,st,[address],3,rd=%fsr,rs1,rs2,,end
STDFQ,op3,100110,i,000000,Store Double Floating-point deferred-trap Queue,97,B5,Store,1,F01-1,raw,1,,frr,std,[address],3,rd=%fq,rs1,rs2,,end
STC,op3,110100,i,000000,Store Coprocessor,99,B6,Store,1,F01-1,raw,0,,crr,st,[address],3,rd=cprd,rs1,rs2,,end
STDC,op3,110111,i,000000,Store Double Coprocessor,99,B6,Store,1,F01-1,raw,0,,crr,std,[address],3,rd=cprd,rs1,rs2,,end
STCSR,op3,110101,i,000000,Store Coprocessor State Register,99,B6,Store,1,F01-1,raw,0,,crr,st,[address],3,rd=%csr,rs1,rs2,,end
STDCQ,op3,110110,i,000000,Store Double Coprocessor Queue,99,B6,Store,1,F01-1,raw,1,,crr,std,[address],3,rd=%cq,rs1,rs2,,end
LDSTUB,op3,001101,i,000000,Atomic Load-Store Unsigned Byte,101,B7,Load,1,F01-1,raw,0,,rrr,ldstub,[address],3,rs1,rs2,rd,,end
LDSTUBA,op3,011101,i,000000,Atomic Load-Store Unsigned Byte into Alternate space,101,B7,Load,1,F01-a,raw,0,,rrrn,ldstuba,[regaddr] asi,4,rs1,rs2,rd,asi,end
SWAP,op3,001111,i,000000,SWAP register with memory,102,B8,Load,1,F01-1,raw,1,,rrr,swap,[address],3,rs1,rs2,rd,,end
SWAPA,op3,011111,i,000000,SWAP register with Alternate space memory,102,B8,Load,1,F01-a,raw,0,,rrrn,swapa,[regaddr] asi,4,rs1,rs2,rd,asi,end
SETHI,op2,100,,,Set High-Order 22 bits,104,B9,Integer Arith,2,F02-0,raw,0,"const22, %hi (value)",nr,sethi,const22,2,imm22,rd,,,end
NOP,op2,100,,,"No Operation, argument is ignored.",105,B10,Integer Arith,2,F02-1,raw,1,special case of SETHI with rd = 0 and imm22=0,,nop,,0,imm22,,,,end
AND,op3,000001,i,000000,And,106,B11,Integer Arith,2,F03-1,raw,0,,rrr,and,,3,rs1,rs2,rd,,end
ANDcc,op3,010001,i,000000,And and modify icc,106,B11,Integer Arith,2,F03-1,raw,0,,rrr,andcc,,3,rs1,rs2,rd,,end
ANDN,op3,000101,i,000000,And Not,106,B11,Integer Arith,2,F03-1,raw,0,,rrr,andn,,3,rs1,rs2,rd,,end
ANDNcc,op3,010101,i,000000,And Not and modify icc,106,B11,Integer Arith,2,F03-1,raw,0,,rrr,andncc,,3,rs1,rs2,rd,,end
OR,op3,000010,i,000000,Inclusive Or,106,B11,Integer Arith,2,F03-1,raw,0,,rrr,or,,3,rs1,rs2,rd,,end
ORcc,op3,010010,i,000000,Inclusive Or and modify icc,106,B11,Integer Arith,2,F03-1,raw,0,,rrr,orcc,,3,rs1,rs2,rd,,end
ORN,op3,000110,i,000000,Inclusive Or Not,106,B11,Integer Arith,2,F03-1,raw,0,,rrr,orn,,3,rs1,rs2,rd,,end
ORNcc,op3,010110,i,000000,Inclusive Or Not and modify icc,106,B11,Integer Arith,2,F03-1,raw,0,,rrr,orncc,,3,rs1,rs2,rd,,end
XOR,op3,000011,i,000000,Exclusive Or,106,B11,Integer Arith,2,F03-1,raw,0,,rrr,xor,,3,rs1,rs2,rd,,end
XORcc,op3,010011,i,000000,Exclusive Or and modify icc,106,B11,Integer Arith,2,F03-1,raw,0,,rrr,xorcc,,3,rs1,rs2,rd,,end
XNOR,op3,000111,i,000000,Exclusive Nor,106,B11,Integer Arith,2,F03-1,raw,0,,rrr,xnor,,3,rs1,rs2,rd,,end
XNORcc,op3,010111,i,000000,Exclusive Nor and modify icc,106,B11,Integer Arith,2,F03-1,raw,0,,rrr,xnorcc,,3,rs1,rs2,rd,,end
SLL,op3,100101,i,000000,Shift Left Logical,107,B12,Integer Arith,2,F04-1,raw,0,,rrr,sll,,3,rs1,rs2,rd,,end
SRL,op3,100110,i,000000,Shift Right Logical,107,B12,Integer Arith,2,F04-1,raw,0,,rrr,srl,,3,rs1,rs2,rd,,end
SRA,op3,100111,i,000000,Shift Right Arithmetic,107,B12,Integer Arith,2,F04-1,raw,0,,rrr,sra,,3,rs1,rs2,rd,,end
ADD,op3,000000,i,000000,Add,108,B13,Integer Arith,2,F03-1,raw,0,,rrr,add,,3,rs1,rs2,rd,,end
ADDcc,op3,010000,i,000000,Add and modify icc,108,B13,Integer Arith,2,F03-1,raw,0,,rrr,addcc,,3,rs1,rs2,rd,,end
ADDX,op3,001000,i,000000,Add with Carry,108,B13,Integer Arith,2,F03-1,raw,0,,rrr,addx,,3,rs1,rs2,rd,,end
ADDXcc,op3,011000,i,000000,Add with Carry and modify icc,108,B13,Integer Arith,2,F03-1,raw,0,,rrr,addxcc,,3,rs1,rs2,rd,,end
TADDcc,op3,100000,i,000000,Tagged Add and modify icc,109,B14,Integer Arith,2,F03-1,raw,0,,rrr,taddcc,,3,rs1,rs2,rd,,end
TADDccTV,op3,100010,i,000000,"Tagged Add, modify icc and Trap on Overflow",109,B14,Integer Arith,2,F03-1,raw,0,,rrr,taddcctv,,3,rs1,rs2,rd,,end
SUB,op3,000100,i,000000,Subtract,110,B15,Integer Arith,2,F03-1,raw,0,,rrr,sub,,3,rs1,rs2,rd,,end
SUBcc,op3,010100,i,000000,Subtract and modify icc,110,B15,Integer Arith,2,F03-1,raw,0,,rrr,subcc,,3,rs1,rs2,rd,,end
SUBX,op3,001100,i,000000,Subtract with Carry,110,B15,Integer Arith,2,F03-1,raw,0,,rrr,subx,,3,rs1,rs2,rd,,end
SUBXcc,op3,011100,i,000000,Subtract with Carry and modify icc,110,B15,Integer Arith,2,F03-1,raw,0,,rrr,subxcc,,3,rs1,rs2,rd,,end
TSUBcc,op3,100001,i,000000,Tagged Subtract and modify icc,111,B16,Integer Arith,2,F03-1,raw,0,,rrr,tsubcc,,3,rs1,rs2,rd,,end
TSUBccTV,op3,100011,i,000000,"Tagged Subtract, modify icc and Trap on Overflow",111,B16,Integer Arith,2,F03-1,raw,0,,rrr,tsubcctv,,3,rs1,rs2,rd,,end
MULScc,op3,100100,i,000000,Multiply Step and modify icc,112,B17,Integer Arith,2,F03-1,raw,0,,rrr,mulscc,,3,rs1,rs2,rd,,end
UMUL,op3,001010,i,000000,Unsigned Integer Multiply,113,B18,Integer Arith,2,F03-1,raw,0,,rrr,umul,,3,rs1,rs2,rd,,end
SMUL,op3,001011,i,000000,Signed Integer Multiply,113,B18,Integer Arith,2,F03-1,raw,0,,rrr,smul,,3,rs1,rs2,rd,,end
UMULcc,op3,011010,i,000000,Unsigned Integer Multiply and modify icc,113,B18,Integer Arith,2,F03-1,raw,0,,rrr,umulcc,,3,rs1,rs2,rd,,end
SMULcc,op3,011011,i,000000,Signed Integer Multiply and modify icc,113,B18,Integer Arith,2,F03-1,raw,0,,rrr,smulcc,,3,rs1,rs2,rd,,end
UDIV,op3,001110,i,000000,Unsigned Integer Divide,115,B19,Integer Arith,2,F03-1,raw,0,,rrr,udiv,,3,rs1,rs2,rd,,end
SDIV,op3,001111,i,000000,Signed Integer Divide,115,B19,Integer Arith,2,F03-1,raw,0,,rrr,sdiv,,3,rs1,rs2,rd,,end
UDIVcc,op3,011110,i,000000,Unsigned Integer Divide and modify icc,115,B19,Integer Arith,2,F03-1,raw,0,,rrr,udivcc,,3,rs1,rs2,rd,,end
SDIVcc,op3,011111,i,000000,Signed Integer Divide and modify icc,115,B19,Integer Arith,2,F03-1,raw,0,,rrr,sdivcc,,3,rs1,rs2,rd,,end
SAVE,op3,111100,i,000000,Save caller’s window,117,B20,Integer Arith,2,F03-1,raw,0,,rrr,save,,3,rs1,rs2,rd,,end
RESTORE,op3,111101,i,000000,Restore caller’s window,117,B20,Integer Arith,2,F03-1,raw,0,,rrr,restore,,3,rs1,rs2,rd,,end
BA,op2,1000,a,0000,Branch Always,119,B21,Control Transfer,3,F05-1,raw,0,,n,ba,label,1,disp22,,,,end
BN,op2,0000,a,0000,Branch Never,119,B21,Control Transfer,3,F05-1,raw,0,,n,bn,label,1,disp22,,,,end
BNE,op2,1001,a,0000,Branch on Not Equal,119,B21,Control Transfer,3,F05-1,raw,0,,n,bne,label,1,disp22,,,,end
BE,op2,0001,a,0000,Branch on Equal,119,B21,Control Transfer,3,F05-1,raw,0,,n,be,label,1,disp22,,,,end
BG,op2,1010,a,0000,Branch on Greater,119,B21,Control Transfer,3,F05-1,raw,0,,n,bg,label,1,disp22,,,,end
BLE,op2,0010,a,0000,Branch on Less or Equal,119,B21,Control Transfer,3,F05-1,raw,0,,n,ble,label,1,disp22,,,,end
BGE,op2,1011,a,0000,Branch on Greater or Equal,119,B21,Control Transfer,3,F05-1,raw,0,,n,bge,label,1,disp22,,,,end
BL,op2,0011,a,0000,Branch on Less,119,B21,Control Transfer,3,F05-1,raw,0,,n,bl,label,1,disp22,,,,end
BGU,op2,1100,a,0000,Branch on Greater Unsigned,119,B21,Control Transfer,3,F05-1,raw,0,,n,bgu,label,1,disp22,,,,end
BLEU,op2,0100,a,0000,Branch on Less or Equal Unsigned,119,B21,Control Transfer,3,F05-1,raw,0,,n,bleu,label,1,disp22,,,,end
BCC,op2,1101,a,0000,"Branch on Carry Clear (Greater than or Equal, Unsigned)",119,B21,Control Transfer,3,F05-1,raw,0,,n,bcc,label,1,disp22,,,,end
BCS,op2,0101,a,0000,"Branch on Carry Set (Less than, Unsigned)",119,B21,Control Transfer,3,F05-1,raw,0,,n,bcs,label,1,disp22,,,,end
BPOS,op2,1110,a,0000,Branch on Positive,119,B21,Control Transfer,3,F05-1,raw,0,,n,bpos,label,1,disp22,,,,end
BNEG,op2,0110,a,0000,Branch on Negative,119,B21,Control Transfer,3,F05-1,raw,0,,n,bneg,label,1,disp22,,,,end
BVC,op2,1111,a,0000,Branch on Overflow Clear,119,B21,Control Transfer,3,F05-1,raw,0,,n,bvc,label,1,disp22,,,,end
BVS,op2,0111,a,0000,Branch on Overflow Set,119,B21,Control Transfer,3,F05-1,raw,0,,n,bvs,label,1,disp22,,,,end
FBA,op2,1000,a,0000,FCC Branch Always,121,B22,Control Transfer,3,F05-2,raw,0,,n,fba,label,1,disp22,,,,end
FBN,op2,0000,a,0000,FCC Branch Never,121,B22,Control Transfer,3,F05-2,raw,0,,n,fbn,label,1,disp22,,,,end
FBU,op2,0111,a,0000,FCC Branch on Unordered,121,B22,Control Transfer,3,F05-2,raw,0,,n,fbu,label,1,disp22,,,,end
FBG,op2,0110,a,0000,FCC Branch on Greater,121,B22,Control Transfer,3,F05-2,raw,0,,n,fbg,label,1,disp22,,,,end
FBUG,op2,0101,a,0000,FCC Branch on Unordered or Greater,121,B22,Control Transfer,3,F05-2,raw,0,,n,fbug,label,1,disp22,,,,end
FBL,op2,0100,a,0000,FCC Branch on Less,121,B22,Control Transfer,3,F05-2,raw,0,,n,fbl,label,1,disp22,,,,end
FBUL,op2,0011,a,0000,FCC Branch on Unordered or Less,121,B22,Control Transfer,3,F05-2,raw,0,,n,fbul,label,1,disp22,,,,end
FBLG,op2,0010,a,0000,FCC Branch on Less or Greater,121,B22,Control Transfer,3,F05-2,raw,0,,n,fblg,label,1,disp22,,,,end
FBNE,op2,0001,a,0000,FCC Branch on Not Equal,121,B22,Control Transfer,3,F05-2,raw,0,,n,fbne,label,1,disp22,,,,end
FBE,op2,1001,a,0000,FCC Branch on Equal,121,B22,Control Transfer,3,F05-2,raw,0,,n,fbe,label,1,disp22,,,,end
FBUE,op2,1010,a,0000,FCC Branch on Unordered or Equal,121,B22,Control Transfer,3,F05-2,raw,0,,n,fbue,label,1,disp22,,,,end
FBGE,op2,1011,a,0000,FCC Branch on Greater or Equal,121,B22,Control Transfer,3,F05-2,raw,0,,n,fbge,label,1,disp22,,,,end
FBUGE,op2,1100,a,0000,FCC Branch on Unordered or Greater or Equal,121,B22,Control Transfer,3,F05-2,raw,0,,n,fbuge,label,1,disp22,,,,end
FBLE,op2,1101,a,0000,FCC Branch on Less or Equal,121,B22,Control Transfer,3,F05-2,raw,0,,n,fble,label,1,disp22,,,,end
FBULE,op2,1110,a,0000,FCC Branch on Unordered or Less or Equal,121,B22,Control Transfer,3,F05-2,raw,0,,n,fbule,label,1,disp22,,,,end
FBO,op2,1111,a,0000,FCC Branch on Ordered,121,B22,Control Transfer,3,F05-2,raw,0,,n,fbo,label,1,disp22,,,,end
CBA,op2,1000,a,0000,CCC Branch Always,123,B23,Control Transfer,3,F05-3,raw,0,,n,cba,label,1,disp22,,,,end
CBN,op2,0000,a,0000,CCC Branch Never,123,B23,Control Transfer,3,F05-3,raw,0,,n,cbn,label,1,disp22,,,,end
CB3,op2,0111,a,0000,CCC Branch on Unordered,123,B23,Control Transfer,3,F05-3,raw,0,,n,cb3,label,1,disp22,,,,end
CB2,op2,0110,a,0000,CCC Branch on Greater,123,B23,Control Transfer,3,F05-3,raw,0,,n,cb2,label,1,disp22,,,,end
CB23,op2,0101,a,0000,CCC Branch on Unordered or Greater,123,B23,Control Transfer,3,F05-3,raw,0,,n,cb23,label,1,disp22,,,,end
CB1,op2,0100,a,0000,CCC Branch on Less,123,B23,Control Transfer,3,F05-3,raw,0,,n,cb1,label,1,disp22,,,,end
CB13,op2,0011,a,0000,CCC Branch on Unordered or Less,123,B23,Control Transfer,3,F05-3,raw,0,,n,cb13,label,1,disp22,,,,end
CB12,op2,0010,a,0000,CCC Branch on Less or Greater,123,B23,Control Transfer,3,F05-3,raw,0,,n,cb12,label,1,disp22,,,,end
CB123,op2,0001,a,0000,CCC Branch on Not Equal,123,B23,Control Transfer,3,F05-3,raw,0,,n,cb123,label,1,disp22,,,,end
CB0,op2,1001,a,0000,CCC Branch on Equal,123,B23,Control Transfer,3,F05-3,raw,0,,n,cb0,label,1,disp22,,,,end
CB03,op2,1010,a,0000,CCC Branch on Unordered or Equal,123,B23,Control Transfer,3,F05-3,raw,0,,n,cb03,label,1,disp22,,,,end
CB02,op2,1011,a,0000,CCC Branch on Greater or Equal,123,B23,Control Transfer,3,F05-3,raw,0,,n,cb02,label,1,disp22,,,,end
CB023,op2,1100,a,0000,CCC Branch on Unordered or Greater or Equal,123,B23,Control Transfer,3,F05-3,raw,0,,n,cb023,label,1,disp22,,,,end
CB01,op2,1101,a,0000,CCC Branch on Less or Equal,123,B23,Control Transfer,3,F05-3,raw,0,,n,cb01,label,1,disp22,,,,end
CB013,op2,1110,a,0000,CCC Branch on Unordered or Less or Equal,123,B23,Control Transfer,3,F05-3,raw,0,,n,cb013,label,1,disp22,,,,end
CB012,op2,1111,a,0000,CCC Branch on Ordered,123,B23,Control Transfer,3,F05-3,raw,0,,n,cb012,label,1,disp22,,,,end
CALL,op,01,,,Call and Link,125,B24,Control Transfer,3,F06-1,raw,0,,n,call,label,1,disp30,,,,end
JMPL,op3,111000,i,000000,Jump and Link,126,B25,Control Transfer,3,F03-1,raw,0,,rrr,jmpl,address,3,rs1,rs2,rd,,end
RETT,op3,111001,i,000000,Return from Trap,127,B26,Control Transfer,3,F07-1,raw,0,,rr,rett,address,2,rs1,rs2,,,end
TA,op3,111010,i,000000,Trap Always,129,B27,Control Transfer,3,F08-1,raw,0,,rr,ta,software_trap,2,rs1,rs2,,,end
TN,op3,111010,i,000000,Trap Never,129,B27,Control Transfer,3,F08-1,raw,1,,rr,tn,software_trap,2,rs1,rs2,,,end
TNE,op3,111010,i,000000,Trap on Not Equal,129,B27,Control Transfer,3,F08-1,raw,0,,rr,tne,software_trap,2,rs1,rs2,,,end
TE,op3,111010,i,000000,Trap on Equal,129,B27,Control Transfer,3,F08-1,raw,0,,rr,te,software_trap,2,rs1,rs2,,,end
TG,op3,111010,i,000000,Trap on Greater,129,B27,Control Transfer,3,F08-1,raw,0,,rr,tg,software_trap,2,rs1,rs2,,,end
TLE,op3,111010,i,000000,Trap on Less or Equal,129,B27,Control Transfer,3,F08-1,raw,0,,rr,tle,software_trap,2,rs1,rs2,,,end
TGE,op3,111010,i,000000,Trap on Greater or Equal,129,B27,Control Transfer,3,F08-1,raw,0,,rr,tge,software_trap,2,rs1,rs2,,,end
TL,op3,111010,i,000000,Trap on Less,129,B27,Control Transfer,3,F08-1,raw,0,,rr,tl,software_trap,2,rs1,rs2,,,end
TGU,op3,111010,i,000000,Trap on Greater Unsigned,129,B27,Control Transfer,3,F08-1,raw,0,,rr,tgu,software_trap,2,rs1,rs2,,,end
TLEU,op3,111010,i,000000,Trap on Less or Equal Unsigned,129,B27,Control Transfer,3,F08-1,raw,0,,rr,tleu,software_trap,2,rs1,rs2,,,end
TCC,op3,111010,i,000000,"Trap on Carry Clear (Greater than or Equal, Unsigned)",129,B27,Control Transfer,3,F08-1,raw,0,,rr,tcc,software_trap,2,rs1,rs2,,,end
TCS,op3,111010,i,000000,"Trap on Carry Set (Less Than, Unsigned)",129,B27,Control Transfer,3,F08-1,raw,0,,rr,tcs,software_trap,2,rs1,rs2,,,end
TPOS,op3,111010,i,000000,Trap on Positive,129,B27,Control Transfer,3,F08-1,raw,0,,rr,tpos,software_trap,2,rs1,rs2,,,end
TNEG,op3,111010,i,000000,Trap on Negative,129,B27,Control Transfer,3,F08-1,raw,0,,rr,tneg,software_trap,2,rs1,rs2,,,end
TVC,op3,111010,i,000000,Trap on Overflow Clear,129,B27,Control Transfer,3,F08-1,raw,0,,rr,tvc,software_trap,2,rs1,rs2,,,end
TVS,op3,111010,i,000000,Trap on Overflow Set,129,B27,Control Transfer,3,F08-1,raw,0,,rr,tvs,software_trap,2,rs1,rs2,,,end
RDY,op3,101000,,,Read Y Register,131,B28,State Register,4,F09-1,raw,0,rs1=0,ar,rd,,2,rs1=%y,rd,,,end
RDASR,op3,101000,,,Read Ancillary State Register (reserved),131,B28,State Register,4,F09-1,raw,0,"Rs = 1 … 15, causes undefined results",ar,rd,,2,rs1=rs1,rd,,,end
RDASR,op3,101000,,,(implementation-dependent),131,B28,State Register,4,F09-1,raw,0,Stbar = rdasr with rd=0 and rs1=15,ar,rd,,2,rs1=rs1,rd,,,end
RDPSR,op3,101001,,,Read Processor State Register,131,B28,State Register,4,F09-1,raw,2,,gr,rd,,2,rs1=%psr,rd,,,end
RDWIM,op3,101010,,,Read Window Invalid Mask Register,131,B28,State Register,4,F09-1,raw,2,,gr,rd,,2,rs1=%wim,rd,,,end
RDTBR,op3,101011,,,Read Trap Base Register,131,B28,State Register,4,F09-1,raw,1,,gr,rd,,2,rs1=%tbr,rd,,,end
WRY,op3,110000,i,000000,Write Y Register,133,B29,State Register,4,F03-1,raw,1,rd=0,rra,wr,xor,3,rs1,rs2,rd=%y,,end
WRASR,op3,110000,i,000000,Write Ancillary State Register (reserved),133,B29,State Register,4,F03-1,raw,1,"Rs = 1 … 15, causes undefined results",rra,wr,xor,3,rs1,rs2,rd=rd,,end
WRASR,op3,110000,i,000000,(implementation-dependent),133,B29,State Register,4,F03-1,raw,0,,rra,wr,xor,3,rs1,rs2,rd=rd,,end
WRPSR,op3,110001,i,000000,Write Processor State Register,133,B29,State Register,4,F03-1,raw,2,,rrg,wr,xor,3,rs1,rs2,rd=%psr,,end
WRWIM,op3,110010,i,000000,Write Window Invalid Mask Register,133,B29,State Register,4,F03-1,raw,2,,rrg,wr,xor,3,rs1,rs2,rd=%wim,,end
WRTBR,op3,110011,i,000000,Write Trap Base Register,133,B29,State Register,4,F03-1,raw,1,,rrg,wr,xor,3,rs1,rs2,rd=%tbr,,end
STBAR,op3,101000,,,Store Barrier,136,B30,Load/Store,1,F10-1,raw,1,,,stbar,,0,,,,,end
UNIMP,op2,0,,,Unimplemented,137,B31,,6,F00-1,raw,1,,n,unimp,,1,const22,,,,end
FLUSH,op3,111011,i,000000,Flush Instruction Memory,138,B32,Load/Store,1,F07-1,raw,0,,rr,flush,address,2,rs1,rs2,,,end
FiTOs,op3,110100,opf,11000100,Convert Integer to Single,140,B33,Floating Point,5,F11-2,raw,0,,ff,fitos,single,2,rs2=fprs2,rd=fprd,,,end
FiTOd,op3,110100,opf,11001000,Convert Integer to Double,140,B33,Floating Point,5,F11-2,raw,0,,ff,fitod,double,2,rs2=fprs2,rd=fprd,,,end
FiTOq,op3,110100,opf,11001100,Convert Integer to Quad,140,B33,Floating Point,5,F11-2,raw,0,,ff,fitoq,quad,2,rs2=fprs2,rd=fprd,,,end
FsTOi,op3,110100,opf,11010001,Convert Single to Integer,140,B33,Floating Point,5,F11-2,raw,0,,ff,fstoi,single,2,rs2=fprs2,rd=fprd,,,end
FdTOi,op3,110100,opf,11010010,Convert Double to Integer,140,B33,Floating Point,5,F11-2,raw,0,,ff,fdtoi,double,2,rs2=fprs2,rd=fprd,,,end
FqTOi,op3,110100,opf,11010011,Convert Quad to Integer,140,B33,Floating Point,5,F11-2,raw,0,,ff,fqtoi,quad,2,rs2=fprs2,rd=fprd,,,end
FsTOd,op3,110100,opf,11001001,Convert Single to Double,140,B33,Floating Point,5,F11-2,raw,0,,ff,fstod,double,2,rs2=fprs2,rd=fprd,,,end
FsTOq,op3,110100,opf,11001101,Convert Single to Quad,140,B33,Floating Point,5,F11-2,raw,0,,ff,fstoq,quad,2,rs2=fprs2,rd=fprd,,,end
FdTOs,op3,110100,opf,11000110,Convert Double to Single,140,B33,Floating Point,5,F11-2,raw,0,,ff,fdtos,double,2,rs2=fprs2,rd=fprd,,,end
FdTOq,op3,110100,opf,11001110,Convert Double to Quad,140,B33,Floating Point,5,F11-2,raw,0,,ff,fdtoq,quad,2,rs2=fprs2,rd=fprd,,,end
FqTOs,op3,110100,opf,11000111,Convert Quad to Single,140,B33,Floating Point,5,F11-2,raw,0,,ff,fqtos,quad,2,rs2=fprs2,rd=fprd,,,end
FqTOd,op3,110100,opf,11001011,Convert Quad to Double,140,B33,Floating Point,5,F11-2,raw,0,,ff,fqtod,quad,2,rs2=fprs2,rd=fprd,,,end
FMOVs,op3,110100,opf,1,Move,140,B33,Floating Point,5,F11-2,raw,0,,ff,fmovs,single,2,rs2=fprs2,rd=fprd,,,end
FNEGs,op3,110100,opf,101,Negate,140,B33,Floating Point,5,F11-2,raw,0,,ff,fnegs,single,2,rs2=fprs2,rd=fprd,,,end
FABSs,op3,110100,opf,1001,Absolute Value,140,B33,Floating Point,5,F11-2,raw,0,,ff,fabss,,2,rs2=fprs2,rd=fprd,,,end
FSQRTs,op3,110100,opf,101001,Square Root Single,140,B33,Floating Point,5,F11-2,raw,0,,ff,fsqrts,single,2,rs2=fprs2,rd=fprd,,,end
FSQRTd,op3,110100,opf,101010,Square Root Double,140,B33,Floating Point,5,F11-2,raw,0,,ff,fsqrtd,double,2,rs2=fprs2,rd=fprd,,,end
